Date,NAV,Change,Fund Name,AMC Name,Launch Date,AUM (Crore),TER (%),Return (%),YTM (%),1W (%),1M (%),3M (%),6M (%),YTD (%),1Y (%),2Y (%),3Y (%),5Y (%),1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,1Y,2Y,3Y,5Y,% Debt Holding,No of debt holdings,% Cash Holding
25-04-2024,1394.286,0.61,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
24-04-2024,1393.6733,0.78,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
23-04-2024,1392.8939,0.45,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
22-04-2024,1392.4456,0.98,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
19-04-2024,1391.4672,-0.27,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
18-04-2024,1391.739,0.52,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
16-04-2024,1391.2232,-0.04,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
15-04-2024,1391.2599,0.89,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
12-04-2024,1390.3694,0.51,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
10-04-2024,1389.8586,1.4,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
08-04-2024,1388.4621,0.52,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
05-04-2024,1387.9431,0.79,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
04-04-2024,1387.1512,0.13,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
03-04-2024,1387.0196,0.77,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
02-04-2024,1386.252,0.86,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
31-03-2024,1385.389,0.83,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
28-03-2024,1384.5638,1.4,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
27-03-2024,1382.8522,-0.41,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
26-03-2024,1383.2639,0.96,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
22-03-2024,1382.3016,0.13,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
21-03-2024,1382.1667,0.44,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
20-03-2024,1381.7259,0.45,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
19-03-2024,1381.2759,0.18,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
18-03-2024,1381.0983,0.68,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
15-03-2024,1380.4233,0.57,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
14-03-2024,1379.8528,0.01,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
13-03-2024,1379.8398,0.53,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
12-03-2024,1379.3129,0.84,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
11-03-2024,1378.4745,1.28,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
07-03-2024,1377.1967,0.22,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
06-03-2024,1376.9796,0.11,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
05-03-2024,1376.874,0.18,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
04-03-2024,1376.6988,0.91,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
01-03-2024,1375.7876,0.07,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
