Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2023-09-26,1335.5216,-0.07,-0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-25,1335.5906,0.25,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-22,1335.3374,0.08,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-21,1335.2558,0.17,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-20,1335.0814,0.67,0.05,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-18,1334.412,0.84,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-15,1333.5717,-0.04,0.0,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-14,1333.6067,0.47,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-13,1333.1322,1.4,0.12,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-12,1331.5486,-0.32,-0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-11,1331.872,0.95,0.07,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-08,1330.9242,-0.08,-0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-07,1331.0009,0.3,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-06,1330.6982,0.03,0.0,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-05,1330.6705,0.3,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-04,1330.3691,1.02,0.08,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-01,1329.3538,0.32,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-31,1329.0302,0.22,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-30,1328.8117,0.32,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-29,1328.494,0.36,0.03,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-28,1328.1321,0.93,0.07,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-25,1327.1992,0.33,0.03,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-24,1326.873,0.54,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-23,1326.3281,0.46,0.03,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-22,1325.8718,0.07,0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-08-21,1325.7977,0.57,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
